icone	nb_feuilles_opla	classe	regle_source	feuilles_candidates
🔧	1	NET	clé.?(?:plate|allen|molette|mixte|dynamométrique)|pinces?(?!	MAISON_OFFICE_TAPE (Rubans adhésifs, pinces et attaches)
🌱	0	SANS_EQUIVALENT	tondeuse|débroussailleuse|scarificateur	
✂️	0	SANS_EQUIVALENT	taille[sx]?.?haie|sécateur|cisaille	
🔥	1	NET	barbecue|plancha|\bbbq\b	MAISON_SA_GRILLS (Grils et planchas)
⛱️	0	SANS_EQUIVALENT	salon[sx]?.?de.?jardin|parasol|transat(?!.{0,10}(?:b[ée]b[ée	
🚲	6	NET	\bvélos?\b|\bvtt\b|bicyclette	SPORT_BIKE_HELMETS (Casques de vélo) ; SPORT_BIKE_KIDS (Vélos pour enfant) ; SPORT_BIKE_ACCESSORIES (Accessoires et outils pour vélo) ; SPORT_BIKE_PARTS (Pièces pour vélo) ; SPORT_BIKE_KID_SEATS (Sièges enfants pour vélo) ; SPORT_BIKE_TRAILERS (Remorques pour vélo)
🛴	0	SANS_EQUIVALENT	trottinette	
🛹	3	NET	skateboards?|skate|longboard	SPORT_SKATE_PROTECTION (Protections de skate) ; SPORT_SKATE_SKATEBOARD_PARTS (Pièces et accessoires pour skateboard) ; SPORT_SKATE_HELMETS (Casques de skate)
⛸️	4	NET	roller|\bpatins?(?![a-zà-ÿ])	WOMEN_ICE_SKATES (Patins à glace) ; WOMEN_ROLLER_SKATES_BLADES (Patins à roulettes et rollers) ; MEN_ICE_SKATES (Patins à glace) ; MEN_ROLLER_SKATES_BLADES (Patins à roulettes et rollers)
🎿	9	AMBIGU	\bskis?\b|snowboard	WOMEN_SKI_BOOTS (Chaussures de ski) ; WOMEN_SNOWBOARD_BOOTS (Bottes de snowboard) ; MEN_SKI_BOOTS (Bottes de ski) ; MEN_SNOWBOARD_BOOTS (Bottes de snowboard) ; GIRLS_SNOW_GEAR (Vêtements de ski) ; BOYS_SNOW_GEAR (Vêtements de ski) ; SPORT_WINTER_SKI_GEAR (Matériel de ski) ; SPORT_WINTER_GOGGLES (Masques et lunettes de ski)
📦	0	SANS_EQUIVALENT	\bgourde\b|bidon.?(?:sport|vélo)|bouteille.?(?:isotherme|ino	
⚽	3	NET	ballon|football	SPORT_TEAM_FOOTBALL (Football) ; SPORT_TEAM_AMERICAN_FOOTBALL (Football américain) ; SPORT_LEISURE_BALLS (Balles et ballons)
🎾	7	AMBIGU	tennis|raquette|badminton|squash	WOMEN_TENNIS_SHOES (Chaussures de tennis) ; MEN_TENNIS_SHOES (Chaussures de tennis) ; SPORT_WINTER_SNOWSHOES (Raquettes à neige) ; SPORT_RACKET_TENNIS (Tennis) ; SPORT_RACKET_TABLE_TENNIS (Tennis de table) ; SPORT_RACKET_BADMINTON (Badminton) ; SPORT_RACKET_SQUASH (Squash)
⛳	9	AMBIGU	golf(?!\s*(?:gti|tdi|tsi|gtd|\d|plus|r32|variant|sportsvan))	WOMEN_GOLF_SHOES (Chaussures de golf) ; MEN_GOLF_SHOES (Chaussures de golf) ; SPORT_GOLF_BALLS (Balles de golf) ; SPORT_GOLF_ACCESSORIES (Accessoires de golf) ; SPORT_GOLF_CLUBS (Clubs de golf) ; SPORT_GOLF_BAGS (Sacs de golf) ; SPORT_GOLF_TRAINING (Matériel d'entraînement pour le golf) ; SPORT_GOLF_GLOVES (Gants de golf)
🏋️	4	NET	haltère|kettlebell|musculation|fitness	WOMEN_INDOOR_TRAINING_SHOES (Chaussures de fitness) ; SPORT_SHOES_INDOOR_MEN (Chaussures de fitness) ; SPORT_FITNESS_HOME (Accessoires de fitness à domicile) ; SPORT_FITNESS_STRENGTH (Musculation)
🥊	2	NET	boxe|\bmma\b	SPORT_MARTIAL_GLOVES (Gants de boxe et d'arts martiaux) ; SPORT_MARTIAL_HAND_WRAPS (Bandes de boxe)
⛺	4	NET	tente|camping|sac[sx]?.?de.?couchage|duvet	KID_SLEEPINGBAG (Sacs de couchage) ; SPORT_OUTDOOR_TENTS (Tentes et matériel de couchage) ; SPORT_OUTDOOR_CAMP_COOKING (Réchauds et ustensiles de cuisine de camping) ; SPORT_OUTDOOR_CAMP_FURNITURE (Meubles de camping)
🎣	1	NET	pêche|moulinet|waders	SPORT_OUTDOOR_FISHING_HUNTING (Pêche et chasse)
🧘	1	NET	yoga|pilates	SPORT_FITNESS_YOGA (Matériel de yoga et de pilates)
🏍️	2	NET	moto\b	WOMEN_MOTORBIKE_BOOTS (Bottes de moto) ; MEN_MOTORBIKE_BOOTS (Bottes de moto)
🛵	0	SANS_EQUIVALENT	scooter	
🛞	0	SANS_EQUIVALENT	pneu|jante|\broue\b	
🚗	4	NET	voiture|automobile|autoradio|pare[sx]?.?choc|rétroviseur	TOY_CARS (Voitures) ; BABY_CAR_MIRROR (Miroirs de voiture) ; BABY_CAR_SUNSHADE (Pare-soleil de voiture) ; CARSEAT_ACC_OTHER (Autres accessoires voiture)
🌸	2	NET	parfumee?s?|parfum|eau[sx]?.?de.?(?:toilette|parfum)|cologne	BEAUTY_PERFUMES (Parfums) ; MAISON_DECO_CANDLES (Bougies et parfums d'ambiance)
💄	2	NET	rouge[sx]?.?à.?lèvre|gloss|lipstick|mascaras?(?![\p{L}\p{N}]	MAKE_UP_BAGS (Trousses à maquillage) ; BEAUTY_MAKEUP (Maquillage)
💅	0	SANS_EQUIVALENT	vernis|manucure	
🧴	2	NET	crème|sérum|lotion|shampooing|gel[sx]?.?douche|savon|soins?\	BEAUTY_SKINCARE_FACE (Soins visage) ; BEAUTY_BODYCARE (Soins corps et douche)
🧴	0	SANS_EQUIVALENT	huiles?\s+(?:pour\s+)?(?:l[ea]s?\s+)?(?:visage|corps|cheveux	
🧴	0	SANS_EQUIVALENT	masques?\s+(?:pour\s+)?(?:l[ea]s?\s+)?(?:visage|corps|cheveu	
🧴	0	SANS_EQUIVALENT	déodorant|gommage|exfoliant|démaquillant|\btoniques?\b|\bbau	
🎸	0	SANS_EQUIVALENT	guitare|stratocaster|telecaster|les[sx]?.?paul|ukulélé	
🎻	0	SANS_EQUIVALENT	violon|violoncelle|contrebasse	
🥁	0	SANS_EQUIVALENT	batterie(?!.{0,15}(?:voiture|moto|vélo|externe|cuisine|télép	
🎺	0	SANS_EQUIVALENT	trompette|saxophone|clarinette|flûte(?!s?\s*(?:à\s*)?champag	
💿	1	NET	(?<!sol\s)(?<!stickers?\s)(?<!autocollants?\s)vinyle?s?\b(?!	VINYLES (Vinyles)
📀	2	NET	\bdvd\b|blu[sx]?.?ray|\bvhs\b|cassette[sx]?.?vidéo|laserdisc	DVD (DVD) ; BLURAY (Blu-ray)
💽	2	NET	\bcd\b|\bk7\b|cassette|minidisc	CD (CD) ; CASSETTES_AUDIO (Cassettes audio)
🎼	0	SANS_EQUIVALENT	harmonica	
🎤	0	SANS_EQUIVALENT	micro(?:phone)?\b(?![\s-]*(?:sd\b|usb|hdmi|ondes?))	
🧱	1	NET	(?<![\p{L}\p{N}])legos?(?![\p{L}\p{N}])|duplo|kapla|jeu[sx]?	CONSTRUCTION_NEW (Jeux de construction)
🪆	5	NET	poupée|barbie|poupon	DOLLS (Poupées et poupons) ; DOLL_CLOTHES_ACC (Accessoires pour poupée et poupon) ; DOLL_FURNITURE (Meubles et accessoires pour maison de poupée) ; DOLLHOUSE (Maisons de poupées) ; DOLL_PLAYSET (Kits de jeu pour poupée et poupon)
🧩	2	NET	puzzle	HC_STORAGE_PUZZLEMATS (Tapis de puzzle) ; PUZZLES (Puzzles)
🦸	2	NET	figurine|funko|playmobil	TOY_FIGURES (Figurines) ; MAISON_DECO_SCULPTURES (Sculptures et figurines)
📖	2	NET	manga|\bbd\b|bande[sx]?.?dessinée|comics	BANDES_DESSINEES (Bandes dessinées) ; MANGAS (Mangas)
📚	4	NET	livrets?|livre|romans?(?![\p{L}\p{N}])|encyclopédie|dictionn	LIVRES_POUR_BEBE (Livres pour bébé) ; LIVRES_SONORES (Livres sonores) ; ROMANS_POUR_ENFANTS (Romans pour enfants) ; ROMANS_POUR_ADULTES (Romans pour adultes)
📰	1	NET	magazine|revue\b	LIVRES_MAGAZINES (Magazines et revues)
🃏	0	SANS_EQUIVALENT	cartes?\s+(?:à\s+)?collectionner|\bjcc\b|trading\s+cards?|\b	
📮	4	NET	timbre	HC_PHILATELY_SINGLES (Timbres à l'unité) ; HC_PHILATELY_LOTS (Lots de timbres) ; HC_PHILATELY_GUIDES (Catalogues et guides de timbres) ; HC_PHILATELY_TOOLS (Outils et matériel pour timbres)
🪙	6	NET	monnaie|numismat|pièce[sx]?.?de.?monnaie	HC_NUMISMATICS_COINS (Pièces de monnaie) ; HC_NUMISMATICS_LOTS (Lots de monnaies) ; PURSES (Porte-monnaie) ; WALLETS (Porte-monnaie) ; KIDS_WALLETS_NEW (Porte-monnaie) ; WALLETS_BOYS_NEW (Porte-monnaie)
👶	2	NET	poussette|landaus?\b	BUGGY_FOOTMUFF (Chancelières de poussette) ; BUGGY_PARTS (Pièces détachées de poussette)
💺	3	NET	siège[sx]?.?auto	CARSEAT_INSERTS (Réducteurs pour siège auto) ; CARSEAT_TRAVELBAG (Housses de siège auto) ; CARSEAT_FOOTMUFF (Chancelières de siège auto)
🍼	3	NET	biberon	BABY_BOTTLE (Biberons) ; BOTTLE_WARMERS (Chauffe-biberon) ; BABY_FORMULA_MAKER (Préparateurs de biberons)
📟	1	NET	babyphone|baby[sx]?.?phone|écoute[sx]?.?bébé	KID_BABY_MONITOR (Babyphones)
🃏	0	SANS_EQUIVALENT	(?<![\p{L}\p{N}/.,])\d{1,3}\s*\/\s*\d{2,3}(?![\p{L}\p{N}/.,]	
