code	titre	grille
SHIRTS_BOYS_NEW	Chemises	G2
SHORTSLEEVE_SHIRTS_BOYS_NEW	Chemises manches courtes	G2
LONGSLEEVE_BOYS_NEW	Chemises manches longues	G2
SLEEVELESS_SHIRTS_BOYS_NEW	Chemises sans manches	G2
OTHER_TOPS_BOYS	Autre	G2
JEANS_BOYS_NEW	Jeans	G2
SKINNYPANTS_BOYS_NEW	Jeans slim	G2
BELLBOTTOMPANTS_BOYS_NEW	Pantalons pattes d'éléphant	G2
BOYS_LEGGINGS_NEW	Leggings	G2
BOYS_JOGGINGS_NEW	Joggings	G2
OVERALLS_ROMPERS_BOYS_NEW	Salopettes	G2
BOYS_SHORTS	Shorts et pantacourts	G2
BOYS_PANTS_HAREM	Sarouels	G2
BOYS_OTH_PANTS	Autres	G2
BOYS_BAGS	Sacs et sacs à dos	G0
CAPS_BOYS_NEW	Casquettes, chapeaux et bonnets	G2
GLOVES_BOYS_NEW	Gants	G0
SCARVES_BOYS_NEW	Écharpes et châles	G0
BELTS_BOYS_NEW	Ceintures	G0
WALLETS_BOYS_NEW	Porte-monnaie	G0
BOWS_BOYS_NEW	Nœuds papillon et cravattes	G0
BOYS_ACC_NEW	Autres accessoires	G0
BATHSHORTS_BOYS_NEW	Maillots de bain	G2
BATHROBES_BOYS_NEW	Peignoirs	G2
SOCKS_BOYS_NEW	Chaussettes	G3
TIGHTS_BOYS_NEW	Collants	G3
PANTIES_BOYS_NEW	Culottes	G2
OTHER_UNDER_BOYS	Autre	G2
ONEPIECE_PAJAMAS_BOYS	Pyjamas une pièce	G2
TWOPIECE_PAJAMAS_BOYS	Pyjamas deux pièces	G2
BOYS_SPORTS	Vêtements de sport	G2
BOYS_PACKAGES	Lots de vêtements	G2
TWINS_BOYS_NEW	Jumeaux et plus	G2
OCC_BOYS_NEW	Déguisements	G2
BOYS_THEMED_COSTUMES	Tenues de soirée	G2
BOYS_OTHER	Autres	G2
KID_CHANGING_BAG	Sacs à langer	G0
BABY_BATHTUB	Baignoires et sièges de bain	G0
BABY_BATH_ACC	Accessoires de bain	G2
BABY_BATH_TOWEL	Serviettes de bain	G0
CHANGING_MATS	Matelas à langer	G0
CHANGING_MAT_COVER	Housses de matelas à langer	G0
CHANGING_MAT_PORTABLE	Matelas à langer nomades	G0
BABY_POTTIES	Pots et réducteurs	G0
KID_STEPSTOOL	Marchepieds	G0
BABY_BIBS	Bavoirs	G0
BABY_BOTTLE	Biberons	G0
BABY_BOTTLE_TEAT	Tétines	G0
BOTTLE_DRYING_RACK	Séchoirs à linge	G0
BOTTLE_BRUSHES	Goupillons	G0
BOTTLE_WARMERS	Chauffe-biberon	G0
BABY_FORMULA_MAKER	Préparateurs de biberons	G0
BABY_FORMULA_STORAGE	Boîtes doseuses	G0
BREASTPUMPS	Tire-lait	G0
BREASTPUMP_ACC	Accessoires pour tire-lait	G0
BREASTFEEDING_COVER	Couvertures d'allaitement	G0
NIPPLE_SHIELD	Coussinets d'allaitement et protège-mamelon	G0
BABY_CUTLERY	Couverts	G0
BABY_PLATE_BOWL	Assiettes et bols	G0
BABY_DINNER_SETS	Coffrets repas	G0
BABY_SIPPY_CUPS	Tasses d'apprentissage	G0
BABY_WATER_BOTTLES	Gourdes	G0
BABY_FEEDING_PILLOW	Coussins et couvertures d'allaitement	G0
DUMMIES_PACIFIERS	Sucettes	G0
KID_BABY_MONITOR	Babyphones	G0
KID_BLANKETS	Couvertures et plaids	G0
KID_MATTRESS_COVER	Draps-housses et alèses	G0
KID_PILLOW	Oreillers	G0
KID_SHEETS	Draps	G0
KID_HEATINGPADS	Coussins chauffants et bouillottes	G0
KIDS_NIGHT_LIGHTS	Veilleuses	G0
KID_SLEEPINGBAG	Sacs de couchage	G0
KID_SWADDLE	Couvertures d'emmaillotage	G0
KID_WHITENOISE_MACHINE	Générateurs de bruits blancs	G0
KID_SCHOOL_BAGS	Cartables et sacs à dos	G0
KID_SCHOOL_PENCIL_CASES	Trousses	G0
KID_SCHOOL_SUPPLIES_GENERAL	Fournitures scolaires	G0
KID_SCHOOL_CALCULATORS_GEOMETRY	Calculatrices et matériel de géométrie	G0
KID_SCHOOL_LUNCH	Boîtes à goûter et gourdes	G0
ALL_OTHER_NEW	Autres articles pour bébé et enfant	G0
BABY_SLINGS	Écharpes et slings	G0
BABY_SOFT_CARRIERS	Porte-bébé souples	G0
BABY_HIP_CARRIERS	Porte-bébé de hanche	G0
BUGGY_COVERS	Habillages pluie et ombrelles	G0
BUGGY_CUPHOLDER	Porte-gobelets et plateaux	G0
BUGGY_FOOTMUFF	Chancelières de poussette	G0
BUGGY_ORGANISER	Organisateurs et filets	G0
BUGGY_PARTS	Pièces détachées de poussette	G0
BABY_CAR_MIRROR	Miroirs de voiture	G0
BABY_CAR_SUNSHADE	Pare-soleil de voiture	G0
CARSEAT_INSERTS	Réducteurs pour siège auto	G0
CARSEAT_TRAVELBAG	Housses de siège auto	G0
CARSEAT_FOOTMUFF	Chancelières de siège auto	G0
CARSEAT_ACC_OTHER	Autres accessoires voiture	G0
KID_NESTS	Réducteurs de lit	G0
CHILDPROOFING_ACC	Accessoires de sécurité	G0
KID_HEARING_PROTECTION	Protections auditives	G0
KID_SAFETY_HARNESS	Laisses et harnais	G0
KID_HUMIDIFIERS	Humidificateurs	G0
NASAL_ASPIRATOR	Mouche-bébés	G0
POSTPARTUM_CARE	Soins post-partum	G0
PREGNANCY_PILLOW	Coussins de grossesse	G0
PREGNANCY_BELT	Ceintures de grossesse	G0
KID_SCALES	Pèse-bébés	G0
KID_THERMOMETERS	Thermomètres bébé	G0
KID_BABY_ALBUM	Albums photo	G0
KID_GROWTH_CHART	Toises	G0
BABY_MOBILE	Mobiles	G0
BABY_MILESTONE_CARD	Cartes étapes et accessoires photo	G0
KID_MONEY_BOX	Tirelires	G0
KID_PHOTO_FRAME	Cadres photo	G0
KID_WALL_DECOR	Décorations murales	G0
MAISON_DECO_ACCESSORIES	Accessoires décoratifs	G0
MAISON_DECO_STORAGE	Rangement et organisation	G0
MAISON_DECO_WALL_ART	Décorations murales	G0
MAISON_DECO_CANDLES	Bougies et parfums d'ambiance	G0
MAISON_DECO_LIGHTING	Éclairage	G0
MAISON_DECO_SCULPTURES	Sculptures et figurines	G0
MAISON_DECO_FRAMES	Encadrements	G0
MAISON_DECO_VASES	Vases	G0
MAISON_DECO_SHELVES	Étagères murales	G0
MAISON_DECO_CLOCKS	Horloges	G0
MAISON_DECO_ARTIFICIAL_PLANTS	Plantes et fleurs artificielles	G0
MAISON_DECO_MIRRORS	Miroirs	G0
MAISON_DECO_FIREPLACE	Accessoires pour cheminées	G0
MAISON_TABLE_DRINKWARE	Verres	G0
MAISON_TABLE_SERVEWARE	Vaisselle de service	G0
MAISON_TABLE_DINNERWARE	Vaisselle	G0
MAISON_TABLE_CUTLERY	Couverts	G0
MAISON_TEXTILE_BEDDING	Linge de lit	G0
MAISON_TEXTILE_TABLE_LINEN	Linge de table	G0
MAISON_TEXTILE_CUSHIONS	Coussins décoratifs	G0
MAISON_TEXTILE_CURTAINS	Rideaux et stores	G0
MAISON_TEXTILE_TOWELS	Serviettes	G0
MAISON_TEXTILE_BLANKETS	Couvertures	G0
MAISON_TEXTILE_RUGS	Tapis	G0
MAISON_TEXTILE_COVERS	Housses	G0
MAISON_TEXTILE_TAPESTRIES	Tapisseries	G0
MAISON_PETS_DOGS	Chiens	G0
MAISON_PETS_CATS	Chats	G0
MAISON_PETS_REPTILES	Reptiles	G0
MAISON_PETS_BIRDS	Oiseaux	G0
MAISON_PETS_RODENTS	Rongeurs & co	G0
MAISON_PETS_FISH	Poissons	G0
MAISON_PARTY_SEASONAL	Décorations saisonnières	G0
MAISON_PARTY_TABLE_DECO	Décorations de table	G0
MAISON_PARTY_ACCESSORIES	Accessoires de fête	G0
MAISON_PARTY_TREE_DECO	Décorations pour le sapin	G0
MAISON_PARTY_CARDS	Cartes et enveloppes	G0
MAISON_PARTY_GIFT_WRAP	Papier cadeau et sacs	G0
MAISON_PARTY_BANNERS	Banderoles, drapeaux et guirlandes	G0
MAISON_PARTY_WREATHS	Couronnes	G0
MAISON_DIY_HARDWARE	Quincaillerie	G0
MAISON_DIY_SMART_HOME	Maisons connectées et sécurité	G0
MAISON_DIY_PROTECTION	Équipement de protection	G0
MAISON_DIY_HAND_TOOLS	Outils à main	G0
MAISON_DIY_POWER_TOOLS	Outils électriques	G0
MAISON_DIY_TOOL_ACCESSORIES	Accessoires pour outils	G0
MAISON_DIY_PAINT_TOOLS	Outils et accessoires de peinture	G0
MAISON_DIY_TOOL_STORAGE	Transport et rangement des outils	G0
MAISON_DIY_MEASURING	Outils de mesure	G0
MAISON_DIY_PLUMBING	Outils de plomberie	G0
MAISON_DIY_WORKSHOP	Équipement d'atelier et de chantier	G0
MAISON_DIY_ELECTRICAL	Outils d'électricien	G0
MAISON_DIY_MASONRY	Outils de maçonnerie	G0
MAISON_KT_FOOD_STORAGE	Stockage alimentaire	G0
MAISON_KT_UTENSILS	Ustensiles de cuisine	G0
MAISON_KT_SPECIALTY_UTENSILS	Ustensiles de cuisine spécialisés	G0
MAISON_KT_BAR	Accessoires de bar	G0
MAISON_KT_MIXING_BOWLS	Bols à mélanger	G0
MAISON_KT_STRAINERS	Passoires, tamis et chinois	G0
MAISON_KT_CUTTING_BOARDS	Planches à découper	G0
MAISON_KT_MEASURING	Tasses et cuillères à mesurer	G0
MAISON_KT_SCALES	Balances de cuisine	G0
MAISON_KT_THERMOMETERS	Thermomètres alimentaires	G0
MAISON_SA_COFFEE	Préparation du café, du thé et de l'expresso	G0
MAISON_SA_BLENDERS	Blenders, mixeurs et robots de cuisine	G0
MAISON_SA_SPECIALTY	Appareils spécialisés	G0
MAISON_SA_ACCESSORIES	Accessoires pour petits appareils de cuisine	G0
MAISON_SA_FRYERS	Friteuses	G0
MAISON_SA_GRILLS	Grils et planchas	G0
MAISON_SA_JUICERS	Extracteurs de jus	G0
MAISON_SA_SPARE_PARTS	Pièces détachées pour petits appareils de cuisine	G0
MAISON_SA_KETTLES	Bouilloires	G0
MAISON_SA_TOASTERS	Grille-pain	G0
MAISON_SA_WATER_DISPENSERS	Distributeurs d'eau et de boissons	G0
MAISON_OFFICE_WRITING	Fournitures d'écriture	G0
MAISON_OFFICE_PLANNERS	Agendas et organiseurs	G0
MAISON_OFFICE_PENCIL_CASES	Trousses	G0
MAISON_OFFICE_NOTEBOOKS	Carnets et blocs-notes	G0
MAISON_OFFICE_ACCESSORIES	Accessoires de bureau	G0
MAISON_OFFICE_ELECTRONICS	Matériel électronique de bureau	G0
MAISON_OFFICE_CALCULATORS	Calculatrices	G0
MAISON_OFFICE_BOOKMARKS	Marque-pages	G0
MAISON_OFFICE_DOC_ORG	Organiseurs de documents	G0
MAISON_OFFICE_TAPE	Rubans adhésifs, pinces et attaches	G0
MAISON_OFFICE_STAPLERS	Agrafeuses et perforatrices	G0
MAISON_OFFICE_DRAWING	Outils de dessin technique	G0
MAISON_OFFICE_PRESENTATION	Matériel de présentation	G0
MAISON_BAKING_ACCESSORIES	Accessoires pour la cuisine et la pâtisserie	G0
MAISON_BAKING_MOLDS	Moules de cuisson	G0
MAISON_BAKING_SPECIALTY	Matériel de cuisson et de pâtisserie spécialisé	G0
MAISON_BAKING_POTS	Casseroles	G0
MAISON_BAKING_OVEN_DISHES	Plats pour le four	G0
MAISON_BAKING_PANS	Poêles	G0
MAISON_OUTDOOR_POTS	Pots, jardinières et accessoires	G0
MAISON_OUTDOOR_GARDEN_DECO	Décorations de jardin et d'extérieur	G0
MAISON_OUTDOOR_POWER_ACCESSORIES	Accessoires pour outils électriques d'extérieur	G0
MAISON_OUTDOOR_POOLS	Spas, piscines et équipements	G0
MAISON_OUTDOOR_WATERING	Équipement d'arrosage	G0
MAISON_OUTDOOR_HAND_TOOLS	Outils manuels de jardin	G0
MAISON_OUTDOOR_GRILLING	Cuisine et grillade d'extérieur	G0
MAISON_OUTDOOR_POWER_TOOLS	Outils électriques d'extérieur	G0
MAISON_OUTDOOR_WEATHER	Instruments météorologiques	G0
MAISON_OUTDOOR_SNOW_TOOLS	Outils de déneigement	G0
MAISON_MAINT_VACUUMS	Aspirateurs et nettoyage	G0
MAISON_MAINT_HEATING	Chauffage, climatisation et ventilation	G0
MAISON_MAINT_IRONS	Fers à repasser et entretien du linge	G0
SPORT_BIKE_HELMETS	Casques de vélo	G0
SPORT_BIKE_KIDS	Vélos pour enfant	G0
SPORT_BIKE_ACCESSORIES	Accessoires et outils pour vélo	G0
SPORT_BIKE_PARTS	Pièces pour vélo	G0
SPORT_BIKE_KID_SEATS	Sièges enfants pour vélo	G0
SPORT_BIKE_TRAILERS	Remorques pour vélo	G0
SPORT_HORSE_SADDLES	Selles et harnachement	G0
SPORT_HORSE_PROTECTION	Protections d'équitation	G0
SPORT_HORSE_HELMETS	Bombes d'équitation	G0
SPORT_HORSE_GLOVES	Gants d'équitation	G1
SPORT_HORSE_HELMET_COVERS	Couvre-casques d'équitation	G0
SPORT_OUTDOOR_FISHING_HUNTING	Pêche et chasse	G0
SPORT_OUTDOOR_OTHER_ACCESSORIES	Autres accessoires de sports de plein air	G0
SPORT_OUTDOOR_HIKING_BAGS	Sacs de randonnée	G0
SPORT_OUTDOOR_TENTS	Tentes et matériel de couchage	G0
SPORT_OUTDOOR_BINOCULARS	Jumelles et longues-vues	G0
SPORT_OUTDOOR_LANTERNS	Torches, lampes frontales et lanternes	G0
SPORT_OUTDOOR_CLIMBING	Escalade et escalade de bloc	G0
SPORT_OUTDOOR_CAMP_COOKING	Réchauds et ustensiles de cuisine de camping	G0
SPORT_OUTDOOR_CAMP_FURNITURE	Meubles de camping	G0
SPORT_OUTDOOR_COOLERS	Glacières	G0
SPORT_OUTDOOR_HYDRATION	Systèmes et kits d'hydratation	G0
SPORT_OUTDOOR_COMPASSES	Boussoles	G0
SPORT_OUTDOOR_TREKKING_POLES	Bâtons de randonnée	G0
SPORT_FITNESS_HOME	Accessoires de fitness à domicile	G0
SPORT_FITNESS_BOTTLES	Gourdes	G0
SPORT_FITNESS_RUNNING	Course à pied	G0
SPORT_FITNESS_STRENGTH	Musculation	G0
SPORT_FITNESS_YOGA	Matériel de yoga et de pilates	G0
SPORT_WATER_SWIMMING	Natation	G0
SPORT_WATER_WETSUITS	Combinaisons, gants et chaussons	G1
SPORT_WATER_ACCESSORIES	Accessoires pour sports nautiques	G0
SPORT_WATER_PFD	Gilets de flottaison	G1
SPORT_WATER_INFLATABLES	Bateaux gonflables	G0
SPORT_WATER_HELMETS	Casques pour sports nautiques	G0
SPORT_WATER_TOWABLES	Bouées tractées	G0
SPORT_WATER_SKIMBOARDS	Skimboards	G0
SPORT_TEAM_FOOTBALL	Football	G0
SPORT_TEAM_HANDBALL	Handball	G0
SPORT_TEAM_VOLLEYBALL	Volley-ball	G0
SPORT_TEAM_RUGBY	Rugby	G0
SPORT_TEAM_AMERICAN_FOOTBALL	Football américain	G0
SPORT_TEAM_BASEBALL	Baseball et softball	G0
SPORT_TEAM_CRICKET	Cricket	G0
SPORT_TEAM_FIELD_HOCKEY	Hockey sur gazon	G0
SPORT_TEAM_FLOORBALL	Floorball	G0
SPORT_TEAM_GAELIC	Sports gaéliques	G0
SPORT_TEAM_LACROSSE	Lacrosse	G0
SPORT_TEAM_NETBALL	Netball	G0
SPORT_TEAM_OTHER	Autres équipements pour sports d'équipe	G0
SPORT_TEAM_TRAINING	Matériel d'entraînement et d'arbitrage	G0
SPORT_TEAM_BASKETBALL	Basketball	G0
SPORT_WINTER_SKI_GEAR	Matériel de ski	G0
SPORT_WINTER_HELMETS	Casques pour sports d'hiver	G0
SPORT_WINTER_GOGGLES	Masques et lunettes de ski	G0
SPORT_WINTER_SNOWBOARD_GEAR	Matériel de snowboard	G0
SPORT_WINTER_ICE_HOCKEY	Hockey sur glace	G0
SPORT_WINTER_FIGURE_SKATING	Accessoires de patinage artistique	G0
SPORT_WINTER_SNOWSHOES	Raquettes à neige	G0
SPORT_WINTER_GAITERS	Guêtres	G0
SPORT_SKATE_PROTECTION	Protections de skate	G0
SPORT_SKATE_SKATEBOARD_PARTS	Pièces et accessoires pour skateboard	G0
SPORT_SKATE_SKATING_PARTS	Pièces et accessoires pour skating	G0
SPORT_SKATE_HELMETS	Casques de skate	G0
SPORT_RACKET_TENNIS	Tennis	G0
SPORT_RACKET_PADEL	Padel	G0
SPORT_RACKET_TABLE_TENNIS	Tennis de table	G0
SPORT_RACKET_BADMINTON	Badminton	G0
SPORT_RACKET_SQUASH	Squash	G0
SPORT_RACKET_EYE_PROTECTION	Protections pour les yeux	G0
SPORT_RACKET_PICKLEBALL	Pickleball	G0
SPORT_RACKET_RACQUETBALL	Racquetball	G0
SPORT_MARTIAL_GLOVES	Gants de boxe et d'arts martiaux	G1
SPORT_MARTIAL_OTHER	Autres équipements pour arts martiaux	G0
SPORT_MARTIAL_BODY_PROTECTION	Protections pour le corps	G0
SPORT_MARTIAL_BELTS	Ceintures d'arts martiaux	G0
SPORT_MARTIAL_HEAD_PROTECTION	Protections pour la tête	G0
SPORT_MARTIAL_HAND_WRAPS	Bandes de boxe	G0
SPORT_MARTIAL_PUNCHING_BAGS	Sacs de frappe	G0
SPORT_MARTIAL_PADS	Pattes d'ours, pao et boucliers	G0
SPORT_MARTIAL_SPEED_BAGS	Poires de vitesse	G0
SPORT_GOLF_BALLS	Balles de golf	G0
SPORT_GOLF_ACCESSORIES	Accessoires de golf	G0
SPORT_GOLF_CLUBS	Clubs de golf	G0
SPORT_GOLF_BAGS	Sacs de golf	G0
SPORT_GOLF_TRAINING	Matériel d'entraînement pour le golf	G0
SPORT_GOLF_GLOVES	Gants de golf	G1
SPORT_LEISURE_DARTS	Matériel pour fléchettes	G0
SPORT_LEISURE_BOULES	Pétanque et autres jeux	G0
SPORT_LEISURE_BALLS	Balles et ballons	G0
SPORT_LEISURE_BILLIARDS	Billard et snooker	G0
SPORT_LEISURE_FRISBEE	Frisbee et disc golf	G0
SPORT_LEISURE_BOWLING	Bowling	G0
SPORT_LEISURE_SPIKEBALL	Roundnet et spikeball	G0
FAIT_MAIN_BIJOUX	Bijoux (fait main)	G0
FAIT_MAIN_VETEMENTS	Vêtements & accessoires (fait main)	G0
FAIT_MAIN_MAISON_DECO	Maison & déco (fait main)	G0
FAIT_MAIN_PAPETERIE	Papeterie & cartes (fait main)	G0
FAIT_MAIN_BOIS	Bois & gravure (fait main)	G0
